Pelt tag #,Date of harvest,Sex,Weight (lbs),Location/waterbody,Town,Watershed,HarvestType
652,11/19/2003,M,23,Queen's Fort Brook (Albert),Exeter,Pawcatuck,Public
653,11/27/2003,F,10,Chipuxet River at D'Ambra gravel pit,Exeter,Pawcatuck,Public
654,11/27/2003,F,10,Chipuxet River at D'Ambra gravel pit,Exeter,Pawcatuck,Public
655,11/27/2003,F,45,Queen's Fort Brook (Albert),Exeter,Pawcatuck,Public
656,11/29/2003,M,25,Queen's Fort Brook (Albert),Exeter,Pawcatuck,Public
657,12/14/2003,M,40,Chipuxet River at D'Ambra gravel pit,Exeter,Pawcatuck,Public
658,12/18/2003,F,37,Chipuxet River at D'Ambra gravel pit,Exeter,Pawcatuck,Public
659,12/29/2003,F,47,Queen's Fort Brook (Albert),Exeter,Pawcatuck,Public
660,1/4/2004,unk,u,Chipuxet River at Camp Conanicus,Exeter,Pawcatuck,Public
661,12/24/2003,M,16,Big River (Big River Mgt. Area),West Greenwich,Pawtuxet,Public
662,12/28/2003,F,26,Big River (Big River Mgt. Area),West Greenwich,Pawtuxet,Public
663,12/28/2003,F,12,Big River (Big River Mgt. Area),West Greenwich,Pawtuxet,Public
664,1/5/2004,M,31,Warwick Sportsmans Club,Exeter,Pawcatuck,Public
665,1/6/2004,F,29,Warwick Sportsmans Club,Exeter,Pawcatuck,Public
666,1/12/2004,M,47,Falls River (Arcadia Mgt. Area),Exeter,Pawcatuck,Public
667,1/16/2004,F,29,Falls River (Arcadia Mgt. Area),Exeter,Pawcatuck,Public
668,1/16/2004,M,46,Falls River (Arcadia Mgt. Area),Exeter,Pawcatuck,Public
669,2/3/2004,unk,35,Will Ernie Pond (Wickaboxet Mgt. Area),West Greenwich,Pawcatuck,Public
670,12/5/2003,F,27,Ponagansett River (Ponagansett Fishing Area),Foster,Pawtuxet,Public
671,12/12/2003,M,32,Ponagansett River (Ponagansett Fishing Area),Foster,Pawtuxet,Public
672,12/12/2003,M,25,Ponagansett River (Ponagansett Fishing Area),Foster,Pawtuxet,Public
673,1/15/2004,M,31,Carbuncle Pond (Nicholas Farm M.A.),Coventry,Quinebaug,Public
674,12/16/2003,M,45,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
675,12/17/2003,M,20,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
676,12/17/2003,unk,20,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
677,12/17/2003,unk,20,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
678,12/17/2003,unk,20,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
679,12/18/2003,unk,50,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
680,12/19/2003,unk,50,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
681,12/21/2003,unk,45,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
682,12/21/2003,unk,15,Roaring Brook (Nicholas Farm Mgt. Area),Coventry,Quinebaug,Public
683,12/27/2003,F,40,unknown,Burrillville,Blackstone,Public
684,12/28/2003,M,51,unknown,Burrillville,Blackstone,Public
685,12/28/2003,M,51,unknown,Burrillville,Blackstone,Public
686,1/2/2004,F,45,Black Hut Mgt. Area,Burrillville,Blackstone,Public
687,1/2/2004,M,50,Black Hut Mgt. Area,Burrillville,Blackstone,Public
688,11/23/2003,F,32,Nye Marsh,Coventry,Quinebaug,Public
689,11/26/2003,F,37,Seth Brown Pond,West Greenwich,Quinebaug,Public
690,12/1/2003,M,36,Nye Marsh,Coventry,Quinebaug,Public
691,12/30/2003,M,30,Lewis Farm,Coventry,Quinebaug,Public
692,12/30/2003,F,35,Lewis Farm,Coventry,Quinebaug,Public
693,1/8/2004,F,38,Lewis Farm,Coventry,Quinebaug,Public
694,2/23/2004,F,35,Briggs Pond,Coventry,Quinebaug,Public
695,2/24/2004,M,28,Briggs Pond,Coventry,Quinebaug,Public
696,12/27/2003,F,32,Falls River (Arcadia M.A.),Exeter,Pawcatuck,Public
697,12/28/2003,M,40,Falls River (Arcadia M.A.),Exeter,Pawcatuck,Public
698,12/30/2003,F,10,Falls River (Arcadia M.A.),Exeter,Pawcatuck,Public
699,1/3/2004,M,36,Queen's River (Ericson),Exeter,Pawcatuck,Public
700,1/5/2004,M,38,Mount Tom Marsh (Woody Hill Brook),Exeter,Pawcatuck,Public
701,2/12/2004,M,35,Wood River,Hopkinton,Pawcatuck,Public
702,2/20/2004,F,22,Wood River,Hopkinton,Pawcatuck,Public
703,2/21/2004,F,20,Wood River,Hopkinton,Pawcatuck,Public
704,2/22/2004,F,22,Wood River,Hopkinton,Pawcatuck,Public
705,2/23/2004,M,20,Wood River,Hopkinton,Pawcatuck,Public
706,2/24/2004,M,39,Wood River,Hopkinton,Pawcatuck,Public
707,2/28/2004,F,41,Ashaway River (Flynn),Hopkinton,Pawcatuck,Public
708,2/28/2004,M,18,Ashaway River (Flynn),Hopkinton,Pawcatuck,Public
709,2/29/2004,M,18,Ashaway River (Flynn),Hopkinton,Pawcatuck,Public
710,3/1/2004,F,18,Ashaway River (Flynn),Hopkinton,Pawcatuck,Public
711,3/3/2004,F,43,Wood River,Hopkinton,Pawcatuck,Public
712,1/4/2005,F,50,Wood River,Hopkinton,Pawcatuck,Public
712,3/4/2004,M,18,Ashaway River (Flynn),Hopkinton,Pawcatuck,Public
713,3/6/2004,F,15,Breakheart Pond (Arcadia M.A.),Exeter,Pawcatuck,Public
714,1/17/2005,M,30,Wood River,Hopkinton,Pawcatuck,Public
714,3/7/2004,F,26,Breakheart Pond (Arcadia M.A.),Exeter,Pawcatuck,Public
715,1/5/2005,F,37,Wood River,Hopkinton,Pawcatuck,Public
715,3/8/2004,F,44,Breakheart Pond (Arcadia M.A.),Exeter,Pawcatuck,Public
716,3/3/2004,M,32,Pawcatuck River,Westerly,Pawcatuck,Public
717,3/4/2004,F,15,Pawcatuck River,Westerly,Pawcatuck,Public
718,3/6/2004,M,40,Wood River,Richmond,Pawcatuck,Public
719,11/22/2003,M,28,Cross Street extension,Westerly,Pawcatuck,Public
720,12/2/2003,F,40,Cross Street extension,Westerly,Pawcatuck,Public
721,12/9/2003,M,50,Pound Road (Chapmans Swamp),Westerly,Pawcatuck,Public
722,12/12/2003,F,39,Pound Road (Chapmans Swamp),Westerly,Pawcatuck,Public
723,12/15/2003,M,32,Pawcatuck River at Canal Street,Westerly,Pawcatuck,Public
724,11/23/2003,M,20,Clear River,Burrillville,Blackstone,Public
725,11/27/2003,F,30,Clear River,Burrillville,Blackstone,Public
726,11/29/2003,F,30,Clear River,Burrillville,Blackstone,Public
727,12/1/2003,F,40,Clear River,Burrillville,Blackstone,Public
728,12/1/2003,M,40,Clear River,Burrillville,Blackstone,Public
729,12/28/2003,M,55,Clear River,Burrillville,Blackstone,Public
730,1/5/2004,F,30,Clear River,Burrillville,Blackstone,Public
731,12/29/2003,M,47,Big River (Big River M.A.),West Greenwich,Pawtuxet,Public
732,1/13/2004,M,8,Falls River (Arcadia M.A.),Exeter,Pawcatuck,Public
733,11/16/2003,F,32,Olney Keach Road pond,Burrillville,Blackstone,Public
734,1/2/2005,M,46,Falls River (Arcadia),Exeter,Pawcatuck,Public
734,12/10/2003,F,34,Scituate Resevoir (PWSB),Scituate,Pawtuxet,Public
735,12/10/2003,M,48,Scituate Resevoir (PWSB),Scituate,Pawtuxet,Public
736,12/12/2003,F,15,Scituate Resevoir (PWSB),Scituate,Pawtuxet,Public
737,12/21/2003,F,35,Winsor Brook,Foster,Pawtuxet,Public
738,12/21/2003,M,37,Winsor Brook,Foster,Pawtuxet,Public
739,12/21/2003,M,12,Winsor Brook,Foster,Pawtuxet,Public
740,12/21/2003,F,13,Winsor Brook,Foster,Pawtuxet,Public
741,12/25/2003,M,45,Shippee Sawmill Pond,Foster,Pawtuxet,Public
742,12/25/2003,M,32,Shippee Sawmill Pond,Foster,Pawtuxet,Public
743,12/25/2003,M,46,Shingle Mill Pond,Glocester,Blackstone,Public
744,12/26/2003,F,38,Shingle Mill Pond,Glocester,Blackstone,Public
745,1/2/2004,M ,20,Shingle Mill Pond,Glocester,Blackstone,Public
746,1/3/2004,M,21,Shingle Mill Pond,Glocester,Blackstone,Public
747,1/3/2004,F,33,Shingle Mill Pond,Glocester,Blackstone,Public
748,1/3/2004,M,29,Westconnaug Brook,Foster,Pawtuxet,Public
749,1/4/2004,F,31,Scituate Resevoir (PWSB),Scituate,Pawtuxet,Public
750,1/9/2004,M,43,Shady Oak Brook (Bates),Glocester,Quinebaug,Public
751,1/9/2004,F,48,Shady Oak Brook (Bates),Glocester,Quinebaug,Public
752,1/12/2004,M,36,Scituate Resevoir (PWSB),Scituate,Pawtuxet,Public
753,3/1/2004,F,21,Shingle Mill Pond,Glocester,Blackstone,Public
754,3/2/2004,M,22,Shingle Mill Pond,Glocester,Blackstone,Public
755,3/6/2004,F,19,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
756,3/7/2004,M,26,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
757,3/14/2004,F,13,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
758,12/9/2004,F,28,Wilbur Hollow Brook (PWSB),Scituate,Pawcatuck,Public
758,1/10/2004,M,40,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
759,1/12/2004,F,35,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
760,12/9/2004,M,32,Wilbur Hollow Brook (PWSB),Scituate,Pawcatuck,Public
760,1/15/2004,F,15,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
761,1/15/2005,F,12,Wilbur Hollow Brook (PWSB),Scituate,Pawcatuck,Public
761,11/29/2003,M,55,Moosup River (Nicholas Farm M.A.),Coventry,Quinebaug,Public
762,12/4/2003,F,30,Dolly Cole Pond (Cranston F&G),Foster,Pawtuxet,Public
763,1/15/2005,M,10,Wilbur Hollow Brook (PWSB),Scituate,Pawcatuck,Public
763,12/23/2003,F,41,Dolly Cole Brook,Scituate,Pawtuxet,Public
764,12/25/2003,M,30,Dolly Cole Pond (Cranston F&G),Foster,Pawtuxet,Public
765,11/8/2004,F,32,Ashaway River,Hopkinton,Pawcatuck,Public
766,12/4/2004,F,42,Log House Brook,Hopkinton,Pawcatuck,Public
767,12/4/2004,F,41,Wood River (Arcadia),Exeter,Pawcatuck,Public
768,12/5/2004,F,19,Log House Brook,Hopkinton,Pawcatuck,Public
769,12/6/2004,F,18,Log House Brook,Hopkinton,Pawcatuck,Public
770,12/7/2004,M,18,Log House Brook,Hopkinton,Pawcatuck,Public
771,12/8/2004,M,34,Log House Brook,Hopkinton,Pawcatuck,Public
771,12/27/2004,unk,39,Woody Hill Brook (Arcadia),Exeter,Pawcatuck,Public
772,12/2/2004,M,43,Chapman's Swamp (Pound Road),Westerly,Pawcatuck,Public
773,12/6/2004,unk,29,Woody Hill Brook (Arcadia),Exeter,Pawcatuck,Public
773,12/2/2004,F,39,Chapman's Swamp (Pound Road),Westerly,Pawcatuck,Public
774,1/8/2005,M,27,Woody Hill Brook (Arcadia),Exeter,Pawcatuck,Public
774,12/2/2004,F,31,Chapman's Swamp (Pound Road),Westerly,Pawcatuck,Public
775,2/10/2005,F,27,Log House Pond,Hopkinton,Pawcatuck,Public
775,12/5/2004,F,29,Chapman's Swamp (Pound Road),Westerly,Pawcatuck,Public
776,12/11/2004,M,14,Log House Brook,Hopkinton,Pawcatuck,Public
776,12/5/2004,M,33,Chapman's Swamp (Pound Road),Westerly,Pawcatuck,Public
777,2/9/2005,M,31,Log House Pond,Hopkinton,Pawcatuck,Public
777,12/8/2004,M,65,Newton's Marsh,Westerly,Pawcatuck,Public
778,12/9/2004,F,54,Newton's Marsh,Westerly,Pawcatuck,Public
779,12/9/2004,M,29,Newton's Marsh,Westerly,Pawcatuck,Public
780,12/12/2004,M,30,Newton's Marsh,Westerly,Pawcatuck,Public
781,12/14/2004,F,32,Newton's Marsh,Westerly,Pawcatuck,Public
782,12/14/2004,M,35,Newton's Marsh,Westerly,Pawcatuck,Public
783,12/15/2004,M,41,Newton's Marsh,Westerly,Pawcatuck,Public
784,11/26/2004,F,45,West Meadow Brook,Foster,Quinebaug,Public
785,11/26/2004,M,52,West Meadow Brook,Foster,Quinebaug,Public
786,11/26/2004,M,40,Coney Brook,West Greenwich,Pawcatuck,Public
787,11/29/2004,M,28,West Meadow Brook,Foster,Quinebaug,Public
788,11/29/2004,M,26,West Meadow Brook,Foster,Quinebaug,Public
789,12/13/2004,F,34,Buckshorn Brook,Coventry,Quinebaug,Public
790,12/16/2004,F,37,Buckshorn Brook,Coventry,Quinebaug,Public
791,1/15/2005,M,33,Coney Brook,West Greenwich,Pawcatuck,Public
792,11/21/2004,M,25,Chipuxet River (W of Rt 2),Exeter,Pawcatuck,Public
793,11/21/2004,M,25,Chipuxet River (W of Rt 2),Exeter,Pawcatuck,Public
794,11/25/2004,M,44,Chipuxet River (The Resevoir),Exeter,Pawcatuck,Public
795,11/29/2004,F,26,Chipuxet River (The Resevoir),Exeter,Pawcatuck,Public
796,12/6/2004,M,26,Chipuxet River (Yawgoo Valley Road),Exeter,Pawcatuck,Public
797,2/15/2005,F,38,Chipuxet River (Yawgoo Valley Road),Exeter,Pawcatuck,Public
798,12/5/2004,M,25,Chipuxet River (The Resevoir),Exeter,Pawcatuck,Public
799,12/15/2004,F,18,Chipuxet River (The Resevoir),Exeter,Pawcatuck,Public
800,1/12/2005,M,30,White Horn Brook (URI),South Kingstown,Pawcatuck,Public
801,2/15/2005,F,38,Chipuxet River (Yawgoo Valley Road),Exeter,Pawcatuck,Public
802,11/2/2004,F,37,New London Turnpike,Richmond,Pawcatuck,Public
803,11/2/2004,F,15,New London Turnpike,Richmond,Pawcatuck,Public
804,11/3/2004,M,41,New London Turnpike,Richmond,Pawcatuck,Public
805,11/3/2004,F,15,New London Turnpike,Richmond,Pawcatuck,Public
806,11/3/2004,M,14,New London Turnpike,Richmond,Pawcatuck,Public
807,11/15/2004,unk,7,Maple Root Pond,Coventry,Pawtuxet,Public
808,12/4/2004,M,38,Big River,West Greenwich,Pawtuxet,Public
809,1/2/2005,M,46,Falls River (Arcadia),Exeter,Pawcatuck,Public
810,1/23/2004,M,34,Nooseneck River,West Greenwich,Pawtuxet,Public
811,11/20/2004,M,38,Hannah Brook (Bucci),Glocester,Pawtuxet,Public
812,11/20/2004,M,12,Hannah Brook (Bucci),Glocester,Pawtuxet,Public
813,12/1/2004,M,54,Paine Brook,Foster,Pawtuxet,Public
814,12/1/2004,F,42,Paine Brook,Foster,Pawtuxet,Public
815,12/9/2004,F,28,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
816,12/9/2004,M,32,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
817,1/15/2005,F,12,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
818,1/15/2005,M,10,Wilbur Hollow Brook (PWSB),Scituate,Pawtuxet,Public
819,12/20/2004,F,32,"unnamed stream, Old Snake Hill Road",Glocester,Pawtuxet,Public
820,12/25/2004,M,40,"unnamed stream, Old Snake Hill Road",Glocester,Pawtuxet,Public
821,12/25/2004,M,15,"unnamed stream, Old Snake Hill Road",Glocester,Pawtuxet,Public
822,1/10/2005,F,10,"unnamed stream, Old Snake Hill Road",Glocester,Pawtuxet,Public
823,1/12/2005,F,8,"unnamed stream, Old Snake Hill Road",Glocester,Pawtuxet,Public
824,12/8/2004,M,34,Log House Brook,Hopkinton,Pawcatuck,Public
825,12/9/2004,M,36,Mount Tom Marsh (Woody Hill Brook),Exeter,Pawcatuck,Public
826,12/11/2004,M,14,Log House Brook,Hopkinton,Pawcatuck,Public
827,1/4/2005,F,50,Wood River,Hopkinton,Pawcatuck,Public
828,1/5/2005,F,37,Wood River,Hopkinton,Pawcatuck,Public
829,1/17/2005,M,30,Wood River,Hopkinton,Pawcatuck,Public
830,2/9/2005,M,31,Log House Pond,Hopkinton,Pawcatuck,Public
831,2/10/2005,F,27,Log House Pond,Hopkinton,Pawcatuck,Public
832,2/18/2005,F,23,Romanoff's Pond,Richmond,Pawcatuck,Public
833,2/24/2005,M,32,Chipuxet River,Exeter,Pawcatuck,Public
834,2/26/2005,M,40,Chipuxet River,Exeter,Pawcatuck,Public
835,2/27/2005,unk,20,Chipuxet River,Exeter,Pawcatuck,Public
836,11/2/2004,M,18,Seldom Seen Farm pond,Glocester,Blackstone,Public
837,11/3/2004,M,38,Seldom Seen Farm pond,Glocester,Blackstone,Public
838,11/9/2004,F,36,Seldom Seen Farm pond,Glocester,Blackstone,Public
839,12/11/2004,M,47,Mishnock River,Coventry,Pawtuxet,Public
840,12/12/2004,M,32,Mishnock River,Coventry,Pawtuxet,Public
841,12/25/2004,F,38,Roaring Brook,Coventry,Quinebaug,Public
842,1/1/2005,F,32,Roaring Brook,Coventry,Quinebaug,Public
843,1/1/2005,M,30,Dolly Cole Brook,Foster,Pawtuxet,Public
844,1/2/2005,M,48,Dolly Cole Brook,Coventry,Pawtuxet,Public
845,12/10/2004,M,32,Ponagansett River,Foster,Pawtuxet,Public
846,12/16/2004,M,29,Ponagansett River,Foster,Pawtuxet,Public
847,12/6/2004,unk,29,Woody Hill Brook (Arcadia),Exeter,Pawcatuck,Public
848,12/26/2004,unk,13,Falls River (Arcadia),Exeter,Pawcatuck,Public
849,1/8/2005,M,27,Woody Hill Brook (Arcadia),Exeter,Pawcatuck,Public
850,3/1/2005,M,35,Chickasheen Brook (Cottrell),South Kingstown,Pawcatuck,Public
851,3/1/2005,F,30,Chickasheen Brook (Cottrell),South Kingstown,Pawcatuck,Public
852,12/3/2004,M,12,Barbers Pond,South Kingstown,Pawcatuck,Public
853,11/10/2005,unk,53,Whaley Hollow,Coventry,Pawtuxet,Public
854,12/28/2005,M,45,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
855,11/2/2005,M,28,Pasquiset Pond,Charlestown,Pawcatuck,Public
856,11/27/2005,M,30,Pasquiset Pond,Charlestown,Pawcatuck,Public
857,11/3/2005,F,34,White Brook (Carolina Hatchery,Richmond,Pawcatuck,Public
858,11/29/2005,M,26,White Brook (Carolina Hatchery,Richmond,Pawcatuck,Public
859,11/2/2005,F,35,Canochet Brook,Hopkinton,Pawcatuck,Public
860,11/2/2005,F,31,Canochet Brook,Hopkinton,Pawcatuck,Public
861,12/2/2005,M,41,White Brook (Carolina Hatchery,Richmond,Pawcatuck,Public
862,12/30/2005,unk,13,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
863,1/3/2006,M,35,Barbers Pond,South Kingstown,Pawcatuck,Public
864,1/3/2006,F,33,Barbers Pond,South Kingstown,Pawcatuck,Public
865,1/28/2006,M,32,Parris Brook,Exeter,Pawcatuck,Public
866,1/1/2006,M,44,unnamed brook Rt 117/102,Coventry,unknown,Public
867,1/1/2006,M,30,unnamed brook Rt 117/102,Coventry,unknown,Public
868,1/1/2006,F,30,unnamed brook Rt 117/102,Coventry,unknown,Public
869,1/13/2006,M,40,Buckshorn Brook,Coventry,Quinebaug,Public
870,1/23/2006,F,37,Moosup River,Coventry,Quinebaug,Public
871,1/30/2006,F,36,West Meadow Brook,Foster,Quinebaug,Public
872,11/2/2005,F,35,Beaver River,Richmond,Pawcatuck,Public
873,11/2/2005,M,32,Beaver River,Richmond,Pawcatuck,Public
874,11/4/2005,M,9,Whaley Hollow,Coventry,Pawtuxet,Public
875,11/6/2005,F,39,Maple Root Pond,Coventry,Pawtuxet,Public
876,12/24/2005,F,45,Roaring Brook,Exeter,Pawcatuck,Public
877,12/24/2005,M,19,Roaring Brook,Exeter,Pawcatuck,Public
878,1/29/2006,M,8,Warwick Sportsmans Club,Exeter,Pawcatuck,Public
879,1/16/2006,M,19,Pasquiset Pond,Charlestown,Pawcatuck,Public
880,1/16/2006,F,24,Pasquiset Pond,Charlestown,Pawcatuck,Public
881,12/2/2005,F,26,Woody Hill Brook (Mt. Tom Club),Exeter,Pawcatuck,Public
882,12/4/2005,F,18,Woody Hill Brook (Mt. Tom Club),Exeter,Pawcatuck,Public
883,12/20/2005,M,29,Mile Brook (Crandall Field),Hopkinton,Pawcatuck,Public
884,12/22/2005,F,33,Wood River,Hopkinton,Pawcatuck,Public
885,12/22/2005,M,31,Queen's River,Exeter,Pawcatuck,Public
886,12/26/2005,F,51,Mile Brook (Crandall Field),Hopkinton,Pawcatuck,Public
887,12/31/2005,F,47,Ashaway River,Hopkinton,Pawcatuck,Public
888,1/11/2006,M,20,Wood River,Hopkinton,Pawcatuck,Public
889,1/13/2006,F,21,Wood River,Hopkinton,Pawcatuck,Public
890,1/15/2006,M,20,Wood River,Hopkinton,Pawcatuck,Public
891,1/20/2006,M,32,Moscow Pond,Hopkinton,Pawcatuck,Public
892,1/21/2006,M,44,Breakheart Pond,West Greenwich,Pawcatuck,Public
893,1/22/2006,F,17,Breakheart Pond,West Greenwich,Pawcatuck,Public
894,1/26/2006,F,14,Woody Hill Brook (Mt. Tom Club),Exeter,Pawcatuck,Public
895,1/28/2006,M,31,Woody Hill Brook (Mt. Tom Club),Exeter,Pawcatuck,Public
896,1/29/2006,F,40,Woody Hill Brook (Mt. Tom Club),Exeter,Pawcatuck,Public
897,2/4/2006,F,12,Mile Brook (Crandall Field),Hopkinton,Pawcatuck,Public
898,2/7/2006,F,41,Locustville Pond,Hopkinton,Pawcatuck,Public
899,2/11/2006,F,55,Locustville Pond,Hopkinton,Pawcatuck,Public
900,1/5/2006,M,5,Ashaway River,Hopkinton,Pawcatuck,Public
901,1/13/2006,M,36,Moosup River,Coventry,Quinebaug,Public
902,11/12/2005,M,38,Gazza Brook,Glocester,Blackstone,Public
903,11/13/2005,F,32,Gazza Brook,Glocester,Blackstone,Public
904,11/13/2005,F,33,Seldom Seen Farm pond (Evans Road),Glocester,Blackstone,Public
905,11/16/2005,F,12,Gazza Brook,Glocester,Blackstone,Public
906,2/25/2006,unk,21,Route 14,Foster,Pawtuxet,Public
907,1/1/2006,M,33,Hopkins Mill Pond,Foster,Pawtuxet,Public
908,1/1/2006,F,12,Hopkins Mill Pond,Foster,Pawtuxet,Public
909,1/1/2006,F,31,Hopkins Mill Pond,Foster,Pawtuxet,Public
910,1/1/2006,M,35,Shippee Sawmill Pond,Foster,Pawtuxet,Public
911,1/1/2006,F,11,Shippee Sawmill Pond,Foster,Pawtuxet,Public
912,12/1/2005,M,35,Herring Brook (Black Hut),Burrillville,Blackstone,Public
913,12/1/2005,F,32,Herring Brook (Black Hut),Burrillville,Blackstone,Public
914,12/1/2005,M,32,Knibb Rd. (Frye),Burrillville,Blackstone,Public
915,12/1/2005,F,34,Knibb Rd. (Frye),Burrillville,Blackstone,Public
916,1/1/2006,M,38,Chepachet River,Glocester,Blackstone,Public
917,1/1/2006,M,17,Chepachet River,Glocester,Blackstone,Public
918,2/1/2006,M,28,Chestnut Hill Rd.,Glocester,Blackstone,Public
919,2/1/2006,F,42,Chestnut Hill Rd.,Glocester,Blackstone,Public
920,1/1/2006,M,29,Douglas Hook Rd. (Malbourn Pond),Glocester,Blackstone,Public
921,1/1/2006,F,31,Douglas Hook Rd. (Malbourn Pond),Glocester,Blackstone,Public
922,12/10/2005,M,30,Shady Oak Brook (Bates),Glocester,Quinebaug,Public
923,12/10/2005,F,28,Shady Oak Brook (Bates),Glocester,Quinebaug,Public
924,1/1/2006,F,35,Mowry Meadow (Killingly M.A.),Glocester,Quinebaug,Public
925,1/10/2006,M,35,Ponaganset River (PWSB),Foster,Pawtuxet,Public
926,1/10/2006,M,43,Ponaganset River (PWSB),Foster,Pawtuxet,Public
927,1/10/2006,M,15,Ponaganset River (PWSB),Foster,Pawtuxet,Public
928,1/10/2006,F,23,Ponaganset River (PWSB),Foster,Pawtuxet,Public
929,12/10/2004,M,32,Ponagansett River,Foster,Pawtuxet,Public
929,2/1/2006,M,36,Elmdale Rd. (PWSB),Scituate,Pawtuxet,Public
930,12/16/2004,M,29,Ponagansett River,Foster,Pawtuxet,Public
930,2/1/2006,M,10,Elmdale Rd. (PWSB),Scituate,Pawtuxet,Public
931,2/1/2006,M,37,Old Plainfield Pike (PWSB),Scituate,Pawtuxet,Public
932,12/7/2005,M,30,Shippee Sawmill Pond,Foster,Pawtuxet,Public
933,12/7/2005,M,45,Shippee Sawmill Pond,Foster,Pawtuxet,Public
934,12/16/2005,F,45,Shippee Sawmill Pond,Foster,Pawtuxet,Public
935,11/15/2005,M,35,Whaley Hollow,Coventry,Pawtuxet,Public
936,12/2/2005,M,30,Roaring Brook,Exeter,Pawcatuck,Public
937,12/2/2005,M,45,Nipmuc River,Burrillville,Blackstone,Public
938,11/10/2005,F,32,Liberty Lane (Quigely),South Kingstown,Pawcatuck,Public
939,11/10/2005,M,20,Liberty Lane (Quigely),South Kingstown,Pawcatuck,Public
940,11/20/2005,F,20,Liberty Lane (Quigely),South Kingstown,Pawcatuck,Public
941,11/20/2005,F,20,Liberty Lane (Quigely),South Kingstown,Pawcatuck,Public
942,12/11/2005,M,35,Liberty Lane (Quigely),South Kingstown,Pawcatuck,Public
943,10/17/2006,F,30,Diamond Bog,Richmond,Pawcatuck,Public
944,10/18/2006,M,31,Diamond Bog,Richmond,Pawcatuck,Public
945,11/2/2006,M,35,Barbers Pond,South Kingstown,Pawcatuck,Public
946,11/2/2006,unk,11,Barbers Pond,South Kingstown,Pawcatuck,Public
947,11/3/2006,unk,11,Barbers Pond,South Kingstown,Pawcatuck,Public
948,11/3/2006,F,38,Barbers Pond,South Kingstown,Pawcatuck,Public
949,11/10/2006,unk,11,Chipuxet River at Yawgoo Valley Rd.,Exeter,Pawcatuck,Public
950,11/28/2006,M,29,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
951,11/28/2006,M,14,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
952,12/6/2006,F,30,Great Swamp impoundment,South Kingstown,Pawcatuck,Public
953,1/3/2007,M,34,White Horn Brook (URI),South Kingstown,Pawcatuck,Public
954,12/21/2006,M,15,Queens River (GSMA),South Kingstown,Pawcatuck,Public
955,12/22/2006,F,48,Queens River (GSMA),South Kingstown,Pawcatuck,Public
956,12/22/2006,M,28,Queens River (GSMA),South Kingstown,Pawcatuck,Public
957,12/23/2006,M,27,Queens River (GSMA),South Kingstown,Pawcatuck,Public
958,12/27/2006,F,32,Queens River (GSMA),South Kingstown,Pawcatuck,Public
959,12/29/2006,F,33,Pawcatuck River (GSMA),South Kingstown,Pawcatuck,Public
960,12/29/2006,M,37,Pawcatuck River (GSMA),South Kingstown,Pawcatuck,Public
961,12/29/2006,F,16,Pawcatuck River (GSMA),South Kingstown,Pawcatuck,Public
962,1/5/2007,M,29,Pawcatuck River (GSMA),South Kingstown,Pawcatuck,Public
963,1/5/2006,F,37,White Horn Brook (URI),South Kingstown,Pawcatuck,Public
964,11/19/2006,M,28,Kelley Brook,West Greenwich,Pawcatuck,Public
965,11/26/2006,F,30,Log Bridge Rd. (Kozela) Pond,Coventry,Quinebaug,Public
966,11/27/2006,unk,28,Hemlock Brook,Foster,Pawtuxet,Public
967,11/27/2006,F,30,Log Bridge Rd. (Kozela) Pond,Coventry,Quinebaug,Public
968,11/15/2004,unk,7,Maple Root Pond,Coventry,Pawtuxet,Public
968,12/8/2006,F,53,Log Bridge Rd. (Kozela) Pond,Coventry,Quinebaug,Public
969,12/17/2006,M,42,Log Bridge Rd. (Kozela) Pond,Coventry,Quinebaug,Public
970,1/1/2007,M,32,Kelley Brook,West Greenwich,Pawcatuck,Public
971,1/1/2007,M,40,Kelley Brook,West Greenwich,Pawcatuck,Public
972,1/4/2007,M,38,Nye Marsh,Coventry,Quinebaug,Public
